method,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,num,distance_Wang_mean,distance_Wang_std,distance_Wang_correct_mean,distance_MatNorm_mean,distance_MatNorm_std,distance_MatNorm_correct_mean
sir,0,198,21,0,0,0,0,0,0,0,0,219,0.9999999999999999,1.0759304636580421e-15,,1.4446911064329688,0.0935842826141268,
save,209,10,0,0,0,0,0,0,0,0,0,219,1.0,1.50978700845225e-16,,1.0189138612955753,0.0864675876636012,
phdy,162,48,9,0,0,0,0,0,0,0,0,219,1.0,1.786404079498161e-16,,1.1208708139818657,0.21217559090840368,
phdres,104,93,22,0,0,0,0,0,0,0,0,219,1.0,5.097627648638101e-16,,1.249438260580883,0.2539189029047043,
ire,1,113,100,5,0,0,0,0,0,0,0,219,0.9990577686741974,0.010089624866840225,0.9587302679298431,1.570827458013919,0.17383323078948396,2.0
meanOPG,0,198,21,0,0,0,0,0,0,0,0,219,0.9999999999999998,9.992852104494501e-16,,1.4446911064329688,0.0935842826141269,
meanMAVE,0,200,19,0,0,0,0,0,0,0,0,219,0.9999999999999998,1.0375832541783229e-15,,1.4417884831891719,0.08946485684703057,
csMAVE,0,219,0,0,0,0,0,0,0,0,0,219,0.9999999999999998,9.453654946749467e-16,,1.4142135623731,5.808266591780174e-15,
csOPG,0,219,0,0,0,0,0,0,0,0,0,219,0.9999999999999999,9.957305300187096e-16,,1.4142135623730985,5.595468520613817e-15,
KSIR,9,196,14,0,0,0,0,0,0,0,0,219,0.9999999999999999,9.009192379619406e-16,,1.4175094499136613,0.11618093489807946,
SDRNNW,0,3,17,152,38,6,1,2,0,0,0,219,0.5368615252361407,0.3406726762340399,0.3327149483987998,0.7245948433883957,0.40701596397823486,0.5094968505622474
